name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"18.2170,109.5830",2020-01-01,30,18.7,23.2,31.3,18.7,23.4,19.1,79.4,3.3,100,4.17,rain,0,0,78.5,46.8,71.5,1022.2,63.1,12.2,137.3,12,5,,2020-01-01T07:13:14,2020-01-01T18:16:32,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-02,29,18.7,23.1,30.8,18.7,23.4,18.4,76.1,0.2,100,8.33,rain,0,0,60.8,36,74.2,1022.1,60.5,12.5,139.9,12.2,5,,2020-01-02T07:13:34,2020-01-02T18:17:08,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-03,29,18.6,23.2,30.3,18.6,23.4,18,74.4,0,0,0,,0,0,56.9,32.8,75.8,1020.7,62.3,12.6,203.9,17.5,8,,2020-01-03T07:13:54,2020-01-03T18:17:45,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-04,30,18.6,22.4,30.8,18.6,22.5,18.1,78.6,0,0,0,,0,0,54,29.5,74.6,1018.6,72.4,12.5,125,10.9,5,,2020-01-04T07:14:13,2020-01-04T18:18:22,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-05,30,18.2,22.7,30.4,18.2,22.8,17.6,75.3,0.2,100,8.33,rain,0,0,56.2,37.1,72.7,1017.9,53.9,13.1,215.5,18.5,8,,2020-01-05T07:14:31,2020-01-05T18:18:59,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-06,29,19.1,23.2,30.8,19.1,23.6,19.6,81.4,0,0,0,,0,0,49.7,30.6,85.4,1017.1,44.4,11.4,200.3,17.3,8,,2020-01-06T07:14:48,2020-01-06T18:19:36,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-07,28,19.6,23.5,30.7,19.6,23.8,20.5,84.4,0,0,0,,0,0,42.1,21.2,98.6,1016.5,53.9,10.6,201.3,17.3,8,,2020-01-07T07:15:03,2020-01-07T18:20:13,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-08,31,19.1,23.9,31.9,19.1,24.1,18.8,75.4,0,0,0,,0,0,51.8,32,80,1016.8,63.8,12.5,227,19.6,8,,2020-01-08T07:15:18,2020-01-08T18:20:51,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-09,29,18.7,23.5,30.3,18.7,23.7,19,77.7,0,0,0,,0,0,51.8,28.1,88.8,1015.7,66.3,12,203.4,17.6,8,,2020-01-09T07:15:31,2020-01-09T18:21:29,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-10,31,19.2,23.6,32.4,19.2,23.9,19.4,79.1,0.3,100,8.33,rain,0,0,41.4,24.1,84.6,1014.4,55.6,11.4,220.7,19,8,,2020-01-10T07:15:43,2020-01-10T18:22:07,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-11,30,18.7,23.7,30.8,18.7,23.9,18.8,76.1,0.1,100,4.17,rain,0,0,40.3,27.4,85.6,1013.9,56.2,12,218.4,18.9,8,,2020-01-11T07:15:54,2020-01-11T18:22:45,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-12,29,17.7,22.7,29.8,17.7,22.8,18.5,79,0,0,0,,0,0,47.2,33.1,87.9,1014.8,64.1,12.6,209.8,18.1,8,,2020-01-12T07:16:04,2020-01-12T18:23:23,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,ZJSY,57494199999"
"18.2170,109.5830",2020-01-13,28,17.6,22.1,28.9,17.6,22.2,17.5,77.1,0,0,0,,0,0,53.3,28.4,82.8,1015.4,69.7,11.4,220.2,19,8,,2020-01-13T07:16:12,2020-01-13T18:24:01,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-14,28,18.1,22.3,28.9,18.1,22.4,17.4,75.3,0,0,0,,0,0,45,25.2,97.2,1016.7,46.3,12.5,236.6,20.3,8,,2020-01-14T07:16:20,2020-01-14T18:24:39,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-15,29,18.2,21.9,28.6,18.2,21.9,16.3,73.4,0,0,0,,0,0,39.2,25.2,93.6,1015.9,41.6,14.3,213.7,18.5,8,,2020-01-15T07:16:26,2020-01-15T18:25:17,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-16,27,17.7,22.1,28.5,17.7,22.2,18,78.9,0,0,0,,0,0,31,17.6,109.5,1016.1,51.4,10.4,208.2,18,8,,2020-01-16T07:16:31,2020-01-16T18:25:55,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-17,28,18.7,22.4,29.2,18.7,22.5,18.7,80.8,0,0,0,,0,0,37.4,24.8,87.9,1017.7,44.8,10,227.5,19.6,8,,2020-01-17T07:16:35,2020-01-17T18:26:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-18,30,18.2,22.7,30.8,18.2,22.9,18.7,80,0.5,100,20.83,rain,0,0,48.2,28.8,97.7,1017.2,59.3,10.7,164.6,14.2,6,,2020-01-18T07:16:37,2020-01-18T18:27:10,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-19,29,18.7,22.6,30.3,18.7,22.8,18.8,80.2,0.7,100,8.33,rain,0,0,39.2,23.8,95.8,1018.5,59.9,11.8,226.8,19.6,8,,2020-01-19T07:16:38,2020-01-19T18:27:48,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-20,29,18.2,22.6,29.5,18.2,22.8,17.8,76.2,0,0,0,,0,0,47.2,25.6,88.2,1019.5,55.9,12.3,213.1,18.3,8,,2020-01-20T07:16:38,2020-01-20T18:28:25,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-21,29,17.6,22.4,29.1,17.6,22.4,17.7,77.7,0,0,0,,0,0,43.2,28.8,84.9,1019.9,51.5,12.4,159.8,14,6,,2020-01-21T07:16:37,2020-01-21T18:29:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-22,28,18.6,22.5,29.2,18.6,22.7,19,82.1,0,0,0,,0,0,40,18,100.6,1017.8,57.6,11.3,161.6,13.8,6,,2020-01-22T07:16:35,2020-01-22T18:29:39,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-23,27,18.7,22.7,28.5,18.7,22.8,19.4,82.6,0,0,0,,0,0,29.2,15.1,113.7,1016.1,75.4,11,225.3,19.6,8,,2020-01-23T07:16:31,2020-01-23T18:30:15,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-24,28,19.6,22.5,29.7,19.6,22.8,19.9,86.7,0,0,0,,0,0,33.5,22,110.4,1016.1,76,11.9,217.3,18.9,8,,2020-01-24T07:16:26,2020-01-24T18:30:52,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-25,29,18.7,22.8,29.1,18.7,22.9,18.6,79.6,0,0,0,,0,0,36.4,24.5,97.7,1013.6,74.9,13.4,190,16.4,8,,2020-01-25T07:16:20,2020-01-25T18:31:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-26,26,16.2,21.5,26,16.2,21.5,18.5,83.9,4.7,100,12.5,rain,0,0,33.8,26.3,59.8,1012.9,81.9,13.5,99.8,8.5,4,,2020-01-26T07:16:12,2020-01-26T18:32:03,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-27,21,14.7,18.2,21,14.7,18.2,16.7,90,3.8,100,8.33,rain,0,0,47.9,28.8,71.5,1013.7,79.3,12.5,90,7.9,5,,2020-01-27T07:16:03,2020-01-27T18:32:38,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-28,19,14.1,16.9,19,14.1,16.9,15.5,91.8,1.1,100,12.5,rain,0,0,55.8,28.4,64,1015.4,73.1,15,55.6,4.8,2,,2020-01-28T07:15:53,2020-01-28T18:33:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-29,24,14.1,18.1,24,14.1,18.1,14,77.8,0.8,100,33.33,rain,0,0,41.8,27.7,76.7,1018.2,80.1,15,80.9,7,3,,2020-01-29T07:15:42,2020-01-29T18:33:48,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-30,22,12.2,17.7,22,12.2,17.7,11.6,68.1,0,0,0,,0,0,48.2,33.5,77,1019.4,79.7,12.9,229.6,19.8,8,,2020-01-30T07:15:30,2020-01-30T18:34:22,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-01-31,25,14.2,18.9,25,14.2,18.9,11.5,63.1,0,0,0,,0,0,50,30.2,79.7,1019.6,55.9,14.8,231.5,19.9,8,,2020-01-31T07:15:16,2020-01-31T18:34:55,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-01,25,15.2,19.5,25,15.2,19.5,13.9,71.4,0,0,0,,0,0,46.4,30.6,79.3,1019.4,48.7,12.6,234.7,20.2,8,,2020-02-01T07:15:01,2020-02-01T18:35:28,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-02,27,16.7,20.8,27.7,16.7,20.8,16.7,79.1,0,0,0,,0,0,39.6,25.9,91.8,1019.3,38.8,10.5,194.8,16.8,7,,2020-02-02T07:14:45,2020-02-02T18:36:01,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-03,29,17.2,21.4,29.8,17.2,21.5,17.6,80.7,0,0,0,,0,0,38.2,25.6,93.8,1018.1,59.9,10.5,196.4,16.9,7,,2020-02-03T07:14:28,2020-02-03T18:36:33,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-04,27,17.2,21.5,28.2,17.2,21.6,18,82.1,0,0,0,,0,0,38.5,26.6,88.5,1017.5,58.7,11.6,209,18.1,8,,2020-02-04T07:14:10,2020-02-04T18:37:05,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-05,28,17.7,22.2,28.9,17.7,22.3,17.9,78,0,0,0,,0,0,49.3,27.7,98,1017.4,56.7,12.3,232.5,20,8,,2020-02-05T07:13:50,2020-02-05T18:37:36,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-06,26,18.6,21.9,26,18.6,21.9,19.1,84.7,0,0,0,,0,0,37.1,23,106.8,1017,63.3,10.5,199.9,17.1,7,,2020-02-06T07:13:30,2020-02-06T18:38:07,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-07,29,18.1,22.6,30.3,18.1,22.8,18.6,80.4,0.2,100,4.17,rain,0,0,50,28.4,88.8,1018.1,51.6,11.1,245.4,21.1,9,,2020-02-07T07:13:08,2020-02-07T18:38:37,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-08,29,18.1,22.6,29.5,18.1,22.7,17.8,76.6,0,0,0,,0,0,59.8,35.3,75.1,1020.5,56.4,11.8,186,16.1,6,,2020-02-08T07:12:45,2020-02-08T18:39:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-09,27,17.2,21.8,27.3,17.2,21.9,15.7,69.7,0,0,0,,0,0,72,39.2,64.9,1021.9,65.5,15.9,202.7,17.6,8,,2020-02-09T07:12:21,2020-02-09T18:39:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-10,29,16.2,21.5,28.8,16.2,21.5,15.6,71,0,0,0,,0,0,49.3,31.3,73.8,1020.3,74.1,14.9,190.3,16.4,7,,2020-02-10T07:11:56,2020-02-10T18:40:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-11,27,18.2,22.2,28.2,18.2,22.3,18.6,81.4,0.1,100,4.17,rain,0,0,49.3,25.6,91.8,1018.6,61.6,11.6,195.1,16.8,7,,2020-02-11T07:11:30,2020-02-11T18:40:32,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-12,27,18.2,22.6,28.5,18.2,22.8,19.4,83.1,0.1,100,4.17,rain,0,0,33.8,22,105.9,1017,42.2,11.2,169.1,14.6,6,,2020-02-12T07:11:03,2020-02-12T18:41:00,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-13,27,20.1,23.6,29.6,20.1,23.9,21.4,87.9,0.1,100,4.17,rain,0,0,38.5,24.8,111.6,1014.1,67.8,9.5,239.4,20.6,9,,2020-02-13T07:10:35,2020-02-13T18:41:27,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2020-02-14,28,20.7,24.3,30.7,20.7,24.7,21.6,85.2,21.1,100,58.33,rain,0,0,38.5,18,120.6,1012,68,9.9,192.9,16.5,7,,2020-02-14T07:10:05,2020-02-14T18:41:53,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
