name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"26.8330,100.2170",2020-01-01,14.6,-0.1,6,14.6,-2.4,4.5,-1,66.4,0,0,0,,0,0,54,20.9,260.6,1023.4,28.2,28.5,166.8,14.3,7,,2020-01-01T08:07:55,2020-01-01T18:36:49,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-02,14.6,-2.2,5.8,14.6,-5.1,4.6,-0.1,70.4,0,0,0,,0,0,54,20.9,260.9,1022.9,39.5,27.9,165.9,14.5,6,,2020-01-02T08:08:12,2020-01-02T18:37:30,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-03,14.2,-1.3,7.1,14.2,-3.9,5.7,1.4,71.1,2.6,100,25,rain,0,0,39.6,18.7,248.7,1018.2,74.8,28.6,169.3,14.6,7,,2020-01-03T08:08:27,2020-01-03T18:38:11,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56651099999,remote"
"26.8330,100.2170",2020-01-04,10.2,2.9,6.1,10.2,1.2,4.5,4.2,88.1,8,100,12.5,rain,0,0,36,23.8,230.2,1015.9,92.5,23.6,89.5,7.7,4,,2020-01-04T08:08:41,2020-01-04T18:38:53,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"56651099999,remote"
"26.8330,100.2170",2020-01-05,10.2,0,3.7,10.2,-2.1,2.1,1.5,86.6,1.1,100,4.17,rain,0,0,39.6,16.2,274,1016.3,78.6,24.9,117.5,10.1,5,,2020-01-05T08:08:53,2020-01-05T18:39:35,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"56651099999,remote"
"26.8330,100.2170",2020-01-06,9.9,-1.8,3.4,6.9,-5.7,0.1,-2.7,69.1,3.5,100,8.33,rain,0,0,62.3,26.3,263.5,1015.3,25,26.4,176.6,15.3,6,,2020-01-06T08:09:04,2020-01-06T18:40:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"56651099999,remote"
"26.8330,100.2170",2020-01-07,12.6,-4.9,3.2,12.6,-8.1,1.6,-5.3,58.7,0,0,0,,0,0,61.2,15.8,246,1021,48.9,29.9,199.2,17.1,7,,2020-01-07T08:09:14,2020-01-07T18:41:02,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-08,14.2,-0.2,5.6,14.2,-2.6,4,-0.5,69.5,0,0,0,,0,0,57.6,27.7,247.9,1015,31.1,28.9,185.5,16.1,7,,2020-01-08T08:09:22,2020-01-08T18:41:46,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-09,12.2,-1.6,5.3,12.2,-4.2,3.1,0.7,74.7,0,0,0,,0,0,57.6,29.5,255.3,1014.3,38.1,30,145.1,12.7,6,,2020-01-09T08:09:28,2020-01-09T18:42:31,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-10,10.8,0.3,5.6,10.8,-2.8,3.3,-1,67.4,0,0,0,,0,0,51.5,26.3,263.3,1013.2,20.4,30,180.5,15.6,7,,2020-01-10T08:09:33,2020-01-10T18:43:17,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-11,12.7,-3.3,3.8,12.7,-6.1,2,-3.9,62.7,0,0,0,,0,0,50.4,18,267.5,1015.1,10.5,29.3,203.5,17.7,8,,2020-01-11T08:09:37,2020-01-11T18:44:02,0.51,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-12,15.1,-4,4.4,15.1,-7.3,3,-6.2,54.8,0,0,0,,0,0,32.8,18,284.3,1017.2,0.8,28.9,213.4,18.4,8,,2020-01-12T08:09:38,2020-01-12T18:44:48,0.52,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-13,16.7,-3.9,5,16.7,-7.5,3.3,-4.3,56.7,0,0,0,,0,0,36,20.2,262.6,1012.4,1.3,29.5,210.1,18.3,8,,2020-01-13T08:09:39,2020-01-13T18:45:35,0.55,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-14,16.7,-2.2,6.2,16.7,-5.5,4,-1.3,65.3,0,0,0,,0,0,43.9,27.4,264.4,1007.5,10.1,30,208.7,18.1,8,,2020-01-14T08:09:38,2020-01-14T18:46:21,0.59,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-15,17.1,-1.3,6.4,17.1,-5,4.1,-2.2,61.4,0,0,0,,0,0,50.4,30.6,268.7,1008.6,7.6,30,207.7,18,8,,2020-01-15T08:09:35,2020-01-15T18:47:08,0.64,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-16,17.7,-2.1,6.6,17.7,-5.1,4.6,-3,58.7,0,0,0,,0,0,50.4,28.4,263.1,1009.8,30.7,30,209.5,18.2,8,,2020-01-16T08:09:31,2020-01-16T18:47:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
"26.8330,100.2170",2020-01-17,17.7,-2.6,6.5,17.7,-5.8,4.5,-3.4,58.7,0,0,0,,0,0,55.4,27.4,266.7,1011,5.1,30,211.7,18.2,8,,2020-01-17T08:09:25,2020-01-17T18:48:43,0.75,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-18,17.2,-2.2,6.4,17.2,-5.9,4.3,-5.1,54.5,0,0,0,,0,0,64.8,29.9,268.6,1009.1,6.7,30,213.5,18.4,8,,2020-01-18T08:09:17,2020-01-18T18:49:31,0.81,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-19,15.2,-2.9,5,15.2,-6.2,2.9,-3.8,60.6,0,0,0,,0,0,64.8,26.6,261.1,1011.1,4,30,212.5,18.3,8,,2020-01-19T08:09:09,2020-01-19T18:50:18,0.86,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-20,13.4,-2.8,4.5,13.4,-5.8,2.5,-3.3,62.5,0,0,0,,0,0,50.4,27.4,243.4,1014.1,12.3,29.9,196.1,17.2,7,,2020-01-20T08:08:58,2020-01-20T18:51:06,0.91,Clear,Clear conditions throughout the day.,clear-day,"56651099999,remote"
"26.8330,100.2170",2020-01-21,9.7,-2.3,4.2,9.2,-5.9,1.3,-2,67.9,0,0,0,,0,0,51.1,28.4,254.3,1015.9,46.8,26.6,179.3,15.6,7,,2020-01-21T08:08:46,2020-01-21T18:51:54,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56651099999,remote"
