name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"19.3586,109.1016",2018-01-01,22.5,11.1,17.2,22.5,11.1,17.2,14.2,83.9,0,0,0,,0,0,,14.4,68.4,1018.1,50.9,15.5,193.3,16.6,8,,2018-01-01T07:17:28,2018-01-01T18:16:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-02,23.7,14.4,18.7,23.7,14.4,18.7,16.4,87.1,0.109,100,4.17,rain,0,0,,11.2,78.2,1016.7,81.1,13.6,194.8,16.9,8,,2018-01-02T07:17:48,2018-01-02T18:17:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-03,24.8,15.7,19.9,24.8,15.7,19.9,17.8,88.4,0.436,100,8.33,rain,0,0,,12.6,89.7,1015.5,83.7,17,176.5,15.4,7,,2018-01-03T07:18:07,2018-01-03T18:17:50,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-04,25.3,17.2,21.2,25.3,17.2,21.2,18.9,87.8,1.2,100,41.67,rain,0,0,,11.1,81.6,1014,70.5,19.2,163.4,14.2,6,,2018-01-04T07:18:24,2018-01-04T18:18:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-05,26.5,17.4,21.6,26.5,17.4,21.6,20,91,0.163,100,8.33,rain,0,0,,8.8,62.3,1012.8,87.5,12.8,165.3,14.2,6,,2018-01-05T07:18:41,2018-01-05T18:19:05,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-06,27.9,18.2,22.1,30,18.2,22.4,20.5,91.4,4.916,100,16.67,rain,0,0,,7.2,118,1011.5,75.3,15.2,179.8,15.6,7,,2018-01-06T07:18:56,2018-01-06T18:19:43,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-07,27.8,18.7,22.7,30,18.7,23,21,90.4,0.109,100,4.17,rain,0,0,,12.1,152.3,1011.3,61.5,12.5,171.5,14.8,6,,2018-01-07T07:19:10,2018-01-07T18:20:21,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-08,28.3,11,20.2,31,11,20.4,17.8,87,0.381,100,4.17,rain,0,0,,25.6,12.5,1014,59.4,18.2,180.1,15.4,6,,2018-01-08T07:19:23,2018-01-08T18:21:00,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-09,12.2,7.9,10.3,12.2,5.9,9.5,8.5,88.7,6.572,100,20.83,rain,0,0,,22,35.2,1021.9,86.1,15.1,88.2,7.4,3,,2018-01-09T07:19:35,2018-01-09T18:21:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-10,16.1,7,11.1,16.1,5.3,10.6,7.9,81.7,0.99,100,12.5,rain,0,0,,25.2,41.5,1024.4,90.4,13,160.4,13.9,7,,2018-01-10T07:19:46,2018-01-10T18:22:18,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-11,17.1,8.4,12,17.1,7.1,11.6,7.8,76.4,0,0,0,,0,0,,15.1,46.2,1024.7,87.5,22.3,172.3,15,7,,2018-01-11T07:19:55,2018-01-11T18:22:57,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-12,18.6,7.9,13.1,18.6,6.4,12.6,7.1,68.7,0,0,0,,0,0,,19,61.5,1024.3,77.1,26.7,215.7,18.5,8,,2018-01-12T07:20:04,2018-01-12T18:23:36,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-13,20.6,7.6,13.5,20.6,6.4,13.3,10.6,83.6,0,0,0,,0,0,,14.4,71,1022.1,72.3,22.5,128.9,11.1,5,,2018-01-13T07:20:11,2018-01-13T18:24:15,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-14,21.8,10.9,16.1,21.8,10.9,16.1,13.6,86.4,0,0,0,,0,0,,10.8,64.5,1019.7,41.1,18.6,168.1,14.5,7,,2018-01-14T07:20:16,2018-01-14T18:24:54,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-15,24.1,11.8,17.5,24.1,11.8,17.5,14.3,83.2,0,0,0,,0,0,,7.6,87.7,1016.8,64.6,20.4,216.1,18.7,8,,2018-01-15T07:20:21,2018-01-15T18:25:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-16,25,12.6,18.5,25,12.6,18.5,15.3,83.5,0,0,0,,0,0,,6.9,49.3,1014.6,56.4,21.3,207.4,17.8,8,,2018-01-16T07:20:24,2018-01-16T18:26:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-17,24.7,13.2,18.8,24.7,13.2,18.8,15.3,81.9,0,0,0,,0,0,,10.5,68.7,1014.5,32.1,16.5,226.2,19.5,8,,2018-01-17T07:20:26,2018-01-17T18:26:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-18,25.1,14.3,19.2,25.1,14.3,19.2,15,78.9,0,0,0,,0,0,,10.5,96.6,1015,57.5,20.7,232.1,20.3,8,,2018-01-18T07:20:27,2018-01-18T18:27:30,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-19,25.3,13.1,19.3,25.3,13.1,19.3,17.2,88,0,0,0,,0,0,,10.5,68.3,1016.4,70.5,14.9,179.4,15.4,7,,2018-01-19T07:20:26,2018-01-19T18:28:09,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-20,27,15.3,21,27.9,15.3,21,18.4,86.4,0,0,0,,0,0,,7.6,85.7,1014.5,58.9,19.8,203.6,17.4,8,,2018-01-20T07:20:24,2018-01-20T18:28:47,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-21,27.7,16.7,21.9,28.5,16.7,21.9,18.9,84.4,0,0,0,,0,0,,11.1,87.1,1013.4,59,19.8,200,17.1,8,,2018-01-21T07:20:21,2018-01-21T18:29:25,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-22,25.8,17,21.1,25.8,17,21.1,18.4,85.6,0,0,0,,0,0,,8.8,71,1013,79.7,13.6,175.8,15.2,6,,2018-01-22T07:20:16,2018-01-22T18:30:03,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-23,26.5,15.7,21.2,26.5,15.7,21.2,17.7,82.6,0,0,0,,0,0,,14.1,112.8,1012.8,82.9,16.6,208.4,18.1,7,,2018-01-23T07:20:10,2018-01-23T18:30:41,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-24,27,15,20.8,27.2,15,20.8,17.1,81.4,0,0,0,,0,0,,13.1,117.1,1011.9,66.5,19.6,239.2,20.7,9,,2018-01-24T07:20:03,2018-01-24T18:31:19,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-25,27.7,15.7,21.6,28.3,15.7,21.7,18.1,82.3,0,0,0,,0,0,,11.1,108.9,1011.7,64.2,20.8,224.6,19.5,8,,2018-01-25T07:19:55,2018-01-25T18:31:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-26,26.8,17.2,21.3,27.5,17.2,21.3,18.2,83.6,0,0,0,,0,0,,11.4,96.6,1013.4,57.6,21.2,205.9,17.8,8,,2018-01-26T07:19:45,2018-01-26T18:32:33,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-27,25.1,16,20.6,25.1,16,20.6,17.9,85.6,0.6,100,25,rain,0,0,,12.4,121.2,1012.9,84.6,24.3,177.9,15.4,7,,2018-01-27T07:19:35,2018-01-27T18:33:09,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-28,28,15.6,20.8,29.1,15.6,20.9,18,85.6,0.8,100,33.33,rain,0,0,,18.7,56.5,1012.4,56.1,21.6,214,18.4,8,,2018-01-28T07:19:22,2018-01-28T18:33:46,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-29,16.7,8.7,12.2,16.7,6.7,12,9.6,84.8,1.09,100,12.5,rain,0,0,,22,29.9,1018.8,79.9,14.9,156.5,13.7,6,,2018-01-29T07:19:09,2018-01-29T18:34:21,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-30,17.4,8.8,11.9,17.4,7.5,11.6,10,88.7,0.526,100,16.67,rain,0,0,,16.7,40.3,1018.9,88.6,13.1,122.1,10.4,5,,2018-01-30T07:18:54,2018-01-30T18:34:57,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-01-31,12.9,7.9,10.5,12.9,6.5,10.1,8.6,88,1.307,100,8.33,rain,0,0,,20.3,15.7,1021.8,72.9,13.6,113.3,9.8,4,,2018-01-31T07:18:39,2018-01-31T18:35:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-01,19.6,4.2,11.2,19.6,2.6,10.4,6.2,73.6,0,0,0,,0,0,,21.6,36.3,1021.9,53.4,13.1,241.9,20.9,9,,2018-02-01T07:18:22,2018-02-01T18:36:06,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-02,16.9,8.7,12.2,16.9,7.6,11.9,7.9,76.2,0,0,0,,0,0,,18.7,27.4,1023.6,74.2,13.7,145.6,12.7,6,,2018-02-02T07:18:03,2018-02-02T18:36:40,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-03,16.8,5.8,10.9,16.8,3.9,10.3,4.9,67.8,0,0,0,,0,0,,17,30.5,1025.1,44.2,16.6,225.6,19.4,8,,2018-02-03T07:17:44,2018-02-03T18:37:14,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-04,18.2,4.1,11.8,18.2,2.7,11.4,6.3,71.1,0,0,0,,0,0,,16.7,49.8,1023.8,59.4,18.5,189,16.4,7,,2018-02-04T07:17:23,2018-02-04T18:37:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-05,15.6,5.3,10.4,15.6,3.7,9.6,3.8,65.4,0,0,0,,0,0,,28.8,20.5,1026.2,63.6,16.7,239.5,20.7,9,,2018-02-05T07:17:01,2018-02-05T18:38:20,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-06,16.9,2.8,10.5,16.9,1.5,10,3.1,63.4,0,0,0,,0,0,,21.6,36.9,1022.8,52.1,21.5,246.8,21.2,9,,2018-02-06T07:16:38,2018-02-06T18:38:52,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-07,20.4,5.2,12.4,20.4,4.3,12.3,7.1,72.4,0,0,0,,0,0,,10.5,38.9,1020,66.3,16,224.9,19.6,8,,2018-02-07T07:16:14,2018-02-07T18:39:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-08,20.8,7,13.6,20.8,6.3,13.4,7.9,71.7,0,0,0,,0,0,,28.8,30.6,1018.3,88.1,15.3,232.5,20.2,8,,2018-02-08T07:15:49,2018-02-08T18:39:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-09,25.8,8.7,16.9,25.8,7.8,16.7,12.6,77.7,0,0,0,,0,0,,9.2,172.4,1014.5,42,15.4,241.5,20.9,9,,2018-02-09T07:15:23,2018-02-09T18:40:26,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-10,28,11.4,18.9,28,11.4,19,15,80,0,0,0,,0,0,,8.8,42.8,1016.1,35.7,10.8,231.5,19.9,8,,2018-02-10T07:14:55,2018-02-10T18:40:56,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-11,23.1,13.2,17.1,23.1,13.2,17.1,14.3,85,0.217,100,8.33,rain,0,0,,13.8,43,1020.9,52.6,8.1,189.2,16.2,7,,2018-02-11T07:14:27,2018-02-11T18:41:26,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-12,21.9,10.9,15.7,21.9,10.9,15.7,11.6,77.9,0,0,0,,0,0,,15.4,56.5,1024.3,58,10.4,202.4,17.5,8,,2018-02-12T07:13:57,2018-02-12T18:41:55,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-13,24,7.1,16.1,24,6.3,15.9,10.1,70.9,0,0,0,,0,0,,12.1,84.3,1022.2,70.2,20.1,256.4,22.2,9,,2018-02-13T07:13:27,2018-02-13T18:42:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-14,26.9,11.1,18.3,26.8,11.1,18.2,13.1,75.7,0,0,0,,0,0,,13.8,199.1,1017.4,79.7,17.9,261.1,22.5,9,,2018-02-14T07:12:55,2018-02-14T18:42:52,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2018-02-15,30.5,12.7,20.5,30,12.7,20.4,15.3,75.4,0,0,0,,0,0,,8.8,146.3,1014.7,67.5,14.7,262.8,22.8,9,,2018-02-15T07:12:23,2018-02-15T18:43:19,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
