name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"36.0672,103.8405",2020-01-01,3,-15,-6.2,1,-21.5,-9.9,-12.7,62.6,0,0,0,,0,0,18,10.8,335.6,1024.7,5.1,8,120.8,10.5,6,,2020-01-01T08:15:23,2020-01-01T18:00:24,0.17,Clear,Clear conditions throughout the day.,clear-day,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-02,1,-13,-5.6,1,-17.9,-8.3,-9.2,77.4,0,0,0,,0,0,16.9,14.4,319.4,1032.7,28.2,5.9,144.6,12.4,6,,2020-01-02T08:15:34,2020-01-02T18:01:10,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-03,3.6,-13,-6,2,-16.4,-8.9,-11.4,68.8,0,0,0,,0,0,16.9,10.8,305,1031.5,13,5.2,120.8,10.4,5,,2020-01-03T08:15:43,2020-01-03T18:01:58,0.26,Clear,Clear conditions throughout the day.,clear-day,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-04,7,-10,-3.3,7,-15.5,-5.9,-11.8,55,0.8,100,8.33,snow,0,0,34.9,14.6,10.9,1020.5,16.5,7.4,89.8,7.8,5,,2020-01-04T08:15:50,2020-01-04T18:02:46,0.31,Snow,Clear conditions throughout the day with morning snow.,rain,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-05,1,-8,-3,1,-10.7,-5.1,-12.8,47.8,0.2,100,8.33,"rain,snow",0,0,34.9,10.8,32.4,1020.2,74,9.5,100.3,8.7,5,,2020-01-05T08:15:56,2020-01-05T18:03:36,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-06,-2.9,-8,-6,-5,-11.9,-7.7,-10.9,70.2,0.1,100,4.17,snow,0,0,19.1,10.8,231.4,1026.5,67.5,9.5,98.3,8.5,5,,2020-01-06T08:15:59,2020-01-06T18:04:27,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-07,0.9,-10,-6,0.9,-15.5,-7.4,-8.5,83.2,0,0,0,,0,0,19.1,10.8,324.3,1026.8,41.2,6.6,149.4,12.7,6,,2020-01-07T08:16:00,2020-01-07T18:05:19,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-08,2,-12,-5.1,0,-17.9,-7.9,-9.3,74.8,0,0,0,,0,0,19.1,18,7.8,1023.5,13,5.4,140.8,12.1,6,,2020-01-08T08:16:00,2020-01-08T18:06:12,0.47,Clear,Clear conditions throughout the day.,clear-day,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-09,-2.8,-8,-5.3,-2.8,-13.1,-8.1,-8.2,80.2,0.2,100,4.17,snow,0,0,18.4,10.8,49.7,1023.3,77.4,4.8,116.8,10.3,5,,2020-01-09T08:15:57,2020-01-09T18:07:06,0.49,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"52533199999,52983099999,ZLLL"
"36.0672,103.8405",2020-01-10,-3,-10,-6.3,-3,-12.8,-7.3,-7.9,88.9,2.6,100,12.5,snow,0,0,19.1,14.4,28,1028.1,60.4,4,64.6,5.6,3,,2020-01-10T08:15:52,2020-01-10T18:08:01,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"52533199999,52983099999,ZLLL"
