name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"21.9500,108.6170",2018-01-01,19.7,13.9,16.5,19.7,13.9,16.5,12.6,78,0,0,0,,0,0,,16.2,69.8,1019.2,75,5.5,186.2,16.1,7,,2018-01-01T07:24:25,2018-01-01T18:13:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-02,23.6,15.1,18.1,23.6,15.1,18.1,15.7,86.1,0,0,0,,0,0,,19.1,112.2,1017.9,41.3,5.4,187.6,16.2,7,,2018-01-02T07:24:44,2018-01-02T18:14:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-03,22.7,16.3,18.6,22.7,16.3,18.6,16.7,89.6,0.2,100,4.17,rain,0,0,,20.5,95.3,1017.4,76,5.4,160.5,13.9,6,,2018-01-03T07:25:01,2018-01-03T18:14:48,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-04,21.3,17.4,19.2,21.3,17.4,19.2,17.6,91,0.1,100,4.17,rain,0,0,,22.7,110.5,1015.3,66.9,5.8,188.4,16.4,7,,2018-01-04T07:25:17,2018-01-04T18:15:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-05,19.5,10.7,16.2,19.5,10.7,16.2,14.7,90.8,1.8,100,16.67,rain,0,0,,28.4,27.8,1015.4,84.4,4.3,134,11.5,5,,2018-01-05T07:25:32,2018-01-05T18:16:07,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-06,20.1,10.7,16.3,20.1,10.7,16.3,15.5,94.8,0.8,100,12.5,rain,0,0,,22.3,79,1013.6,81.2,3.5,113.8,9.7,4,,2018-01-06T07:25:46,2018-01-06T18:16:46,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-07,21,13.4,17.9,21,13.4,17.9,17.3,96.5,3.7,100,16.67,rain,0,0,,19.1,110.7,1012.4,84.9,1.8,115.7,9.9,4,,2018-01-07T07:25:58,2018-01-07T18:17:27,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-08,19.6,7.7,11.6,19.6,3.1,10.1,9,84.3,4.1,100,16.67,rain,0,0,,53.6,12.5,1018.7,68.4,15.4,117.5,10,4,,2018-01-08T07:26:10,2018-01-08T18:18:07,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-09,13.2,6.7,10,13.2,2.3,8,4,67.4,5.1,100,37.5,rain,0,0,,45.7,22,1025.6,75.5,16.8,148.6,12.8,6,,2018-01-09T07:26:19,2018-01-09T18:18:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2018-01-10,15.8,10.2,12.3,15.8,10.2,12.3,4,57.5,0,0,0,,0,0,,34.6,27.8,1027,90.8,27.8,163,14.1,7,,2018-01-10T07:26:28,2018-01-10T18:19:29,0.77,Overcast,Cloudy skies throughout the day.,cloudy,"59644099999,59632099999,remote"
