name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13.7330,100.5670",2020-01-01,32.4,25.3,28.8,36.4,25.3,30.3,20.2,61.2,0,0,0,,0,0,40.7,25.4,75.1,1014.7,38.9,10,113.2,9.9,5,,2020-01-01T06:41:04,2020-01-01T18:00:50,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,E4214,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-02,32.7,24.7,28.4,36.4,24.7,29.8,20.2,61.8,0,0,0,,0,0,38.9,25.4,63,1016,31.2,10,82.8,7.2,3,,2020-01-02T06:41:27,2020-01-02T18:01:24,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-03,34,24.3,28.7,37.5,24.3,30.1,20.5,62.5,0,0,0,,0,0,38.9,17.7,72.9,1014.5,38.8,9.8,89,7.8,3,,2020-01-03T06:41:49,2020-01-03T18:01:58,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-04,33.5,23.6,28.6,37.1,23.6,30.1,20.7,63.8,0,0,0,,0,0,,17.7,75,1012.5,28.7,9.9,85.5,7.3,3,,2020-01-04T06:42:10,2020-01-04T18:02:32,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-05,34,25,29,37.3,25,30.3,20,59.7,0,0,0,,0,0,,19.1,94.8,1012.1,32.9,9.7,88.9,7.5,3,,2020-01-05T06:42:30,2020-01-05T18:03:07,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-06,34.5,24.3,29.1,38.1,24.3,30.1,20.1,60.9,0,0,0,,0,0,35.3,17.1,90.8,1012.3,27.5,9.4,90.8,7.8,3,,2020-01-06T06:42:50,2020-01-06T18:03:41,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-07,35.5,23.7,29.3,37.1,23.7,30.3,20.1,61.3,0,0,0,,0,0,31.7,14.1,111.7,1011.4,19.1,8.6,90.6,7.7,3,,2020-01-07T06:43:08,2020-01-07T18:04:16,0.44,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-08,34.5,24.6,29.3,38.3,24.6,31,21.5,65.6,0,0,0,,0,0,37.1,17.7,88,1011.3,14,8,82.2,7,3,,2020-01-08T06:43:26,2020-01-08T18:04:50,0.47,Clear,Clear conditions throughout the day.,clear-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-09,35.5,26,30.2,40.8,26,32.6,21.9,63.5,0,0,0,,0,0,,16.1,65.9,1010.5,23.4,8,86.7,7.4,3,,2020-01-09T06:43:42,2020-01-09T18:05:25,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
"13.7330,100.5670",2020-01-10,35,26.1,30.3,40.4,26.1,33.6,22.4,64.6,0,0,0,,0,0,,11.3,132.3,1009.9,32.9,8,65.2,5.6,3,,2020-01-10T06:43:58,2020-01-10T18:05:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,F1926,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
