name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"21.9500,108.6170",2020-01-01,24,16.2,19.4,24,16.2,19.4,15.1,76.7,0,0,0,,0,0,27,20.9,80.6,1024.6,40.6,10.1,160,13.8,6,,2020-01-01T07:24:17,2020-01-01T18:13:14,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-02,23.7,18.7,20.4,23.7,18.7,20.4,17.8,86,0,0,0,,0,0,27,17.6,137.3,1023.3,56.9,13.6,175.2,15,6,,2020-01-02T07:24:36,2020-01-02T18:13:52,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-03,23.5,18.5,20.6,23.5,18.5,20.6,17.7,83.6,0,0,0,,0,0,23,19.4,123.7,1021.8,60.6,15,192.1,16.7,7,,2020-01-03T07:24:54,2020-01-03T18:14:30,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-04,25,19,21.2,25,19,21.2,17.7,81.5,0,0,0,,0,0,31.7,17.3,128.5,1019.6,63.3,16.1,188.3,16.2,7,,2020-01-04T07:25:11,2020-01-04T18:15:09,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-05,24.1,16.6,20.8,24.1,16.6,20.8,18,84.4,0,0,0,,0,0,36.7,20.9,136.8,1018.9,33.5,11.6,199.2,17,7,,2020-01-05T07:25:26,2020-01-05T18:15:48,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-06,25.2,19.6,21.6,25.2,19.6,21.6,19.5,88.4,0,0,0,,0,0,37.8,23,139.8,1017.4,21.2,11.8,200.9,17.3,7,,2020-01-06T07:25:40,2020-01-06T18:16:28,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-07,26.6,20.2,22.2,26.6,20.2,22.2,20.2,89,0.4,100,4.17,rain,0,0,37.8,14.4,160.6,1016.9,14.2,10.6,197,17,7,,2020-01-07T07:25:54,2020-01-07T18:17:08,0.44,Rain,Clear conditions throughout the day with morning rain.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-08,24.6,17.7,21.7,24.6,17.7,21.7,19.1,86.3,0,0,0,,0,0,22.7,16.9,138.9,1017.6,32.2,5.3,197.4,17.1,7,,2020-01-08T07:26:05,2020-01-08T18:17:48,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-09,25.1,19.1,21.7,25.1,19.1,21.7,19.5,88.1,0.4,100,16.67,rain,0,0,34.9,21.2,157.5,1016,46.2,8.8,188.7,16.3,7,,2020-01-09T07:26:16,2020-01-09T18:18:29,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"59644099999,59632099999,remote"
"21.9500,108.6170",2020-01-10,24.7,20.2,21.9,24.7,20.2,21.9,20.1,90.1,6.1,100,8.33,rain,0,0,34.9,20.9,159.4,1014.4,39.2,7.3,195.2,16.7,7,,2020-01-10T07:26:25,2020-01-10T18:19:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"59644099999,59632099999,remote"
