name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"19.3586,109.1016",2020-01-01,25.7,16.8,20.7,25.7,16.8,20.7,17.7,83.8,0.435,100,8.33,rain,0,0,36.7,15.1,79.1,1022.7,48.4,18.6,198.7,17.1,8,,2020-01-01T07:17:19,2020-01-01T18:16:19,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-02,26.2,16,20.7,26.2,16,20.7,17.4,83,0,0,0,,0,0,27.5,10.4,90.3,1022.3,64.6,21.1,210.1,18.2,8,,2020-01-02T07:17:39,2020-01-02T18:16:55,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-03,26.3,15.3,20.7,26.3,15.3,20.7,17.4,82.9,0,0,0,,0,0,26.3,11.1,116.9,1020.4,83.1,22.1,205,17.9,8,,2020-01-03T07:17:58,2020-01-03T18:17:32,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-04,26.1,16.1,20.5,26.1,16.1,20.5,17.5,83.9,0,0,0,,0,0,24,9.9,91.3,1018.6,92.5,21.6,151.2,12.9,6,,2020-01-04T07:18:17,2020-01-04T18:18:09,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-05,26.6,14.9,20.6,26.6,14.9,20.6,17.1,82.1,0,0,0,,0,0,28.2,11.3,108.4,1017.7,53.2,21,216.7,18.8,8,,2020-01-05T07:18:34,2020-01-05T18:18:47,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-06,27.9,16,21.5,28.6,16,21.7,18,82.5,0.3,100,12.5,rain,0,0,24.2,8.9,119.5,1016.9,29.2,18.9,211,18.2,8,,2020-01-06T07:18:50,2020-01-06T18:19:25,0.4,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-07,29.1,16.9,22.3,29.6,16.9,22.4,17.5,77.2,0,0,0,,0,0,26.7,9.6,66.7,1016.4,27.7,22.6,223.6,19.2,8,,2020-01-07T07:19:05,2020-01-07T18:20:03,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-08,27.4,14.9,21.1,28.7,14.9,21.2,17.2,79.6,0,0,0,,0,0,26.7,10.4,105.7,1016.8,58.6,20.1,220.8,19,8,,2020-01-08T07:19:18,2020-01-08T18:20:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-09,28.1,15.2,21.5,28.9,15.2,21.6,17.3,78.7,0,0,0,,0,0,23.4,8.5,92.3,1015.5,35.2,20.2,222.3,19.2,8,,2020-01-09T07:19:31,2020-01-09T18:21:21,0.49,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-10,27.7,15.3,21.4,28.2,15.3,21.5,17.6,80.8,0,0,0,,0,0,24.5,8.8,108,1014.1,49.6,20,222.5,19.2,8,,2020-01-10T07:19:42,2020-01-10T18:21:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-11,27.7,15.3,21.5,27.8,15.3,21.5,17.5,80.2,0,0,0,,0,0,26.3,13,72.3,1013.7,47.3,22.3,217.9,18.9,8,,2020-01-11T07:19:52,2020-01-11T18:22:38,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-12,25.6,14.4,19.4,25.6,14.4,19.4,15.9,81.7,0,0,0,,0,0,35.6,15.1,49.4,1015.7,67.8,8.4,197.7,17,7,,2020-01-12T07:20:01,2020-01-12T18:23:17,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-13,26.4,13.3,19.9,26.4,13.3,19.9,15.5,78.3,0,0,0,,0,0,26.2,12.4,122.4,1015,68.3,15.7,213,18.5,8,,2020-01-13T07:20:08,2020-01-13T18:23:56,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-14,27.4,14.1,20,28.2,14.1,20.1,15.7,78.3,0,0,0,,0,0,34.9,15.8,139.7,1015.4,28.1,23.1,226.1,19.5,8,,2020-01-14T07:20:15,2020-01-14T18:24:36,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-15,26.5,12.6,19.5,26.5,12.6,19.5,14.6,75.7,0,0,0,,0,0,33.7,13.6,149.2,1015,20,23.7,233,20.2,8,,2020-01-15T07:20:20,2020-01-15T18:25:15,0.64,Clear,Partly cloudy throughout the day.,clear-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-16,28.2,12.5,20.3,27.5,12.5,20.3,14.5,72.3,0,0,0,,0,0,30.8,9.5,96.2,1015.6,36.8,18.9,230.5,20,8,,2020-01-16T07:20:24,2020-01-16T18:25:54,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-17,26.7,14.2,20.2,26.7,14.2,20.2,16.6,81.6,0.3,100,12.5,rain,0,0,26.7,12.6,46,1017.7,40.2,8.3,209.2,18.1,8,,2020-01-17T07:20:26,2020-01-17T18:26:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-18,27.5,15.4,21.1,27.5,15.4,21.1,16.7,78.6,0,0,0,,0,0,26.7,9.8,134.4,1016.8,41.1,13.1,192.8,16.5,7,,2020-01-18T07:20:27,2020-01-18T18:27:12,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-19,25.3,16.5,20.5,25.3,16.5,20.5,17.1,82.5,1.439,100,12.5,rain,0,0,26.6,9.3,81.1,1018.1,52.3,13.3,144.5,12.5,5,,2020-01-19T07:20:27,2020-01-19T18:27:50,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,59838099999,remote"
"19.3586,109.1016",2020-01-20,26.2,15.6,20.4,26.2,15.6,20.4,16.5,80.4,0,0,0,,0,0,27.9,11.1,111.5,1019,53.4,16.9,193.9,16.7,8,,2020-01-20T07:20:26,2020-01-20T18:28:29,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,59838099999,remote"
