name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"18.2170,109.5830",2018-01-01,27,16.7,21.6,27.1,16.7,21.6,14.1,63.7,0,0,0,,0,0,,28.8,47.8,1017.4,74.5,12.4,183,15.8,7,,2018-01-01T07:13:23,2018-01-01T18:16:49,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-02,28,17,21.3,28.6,17,21.5,16.5,75.4,0.4,100,16.67,rain,0,0,,39.6,54.7,1016,86.1,11.1,150.5,13,6,,2018-01-02T07:13:43,2018-01-02T18:17:25,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-03,27,19.1,22.4,28.5,19.1,22.4,18.6,80.1,0.4,100,16.67,rain,0,0,,43.2,61.9,1014.9,78.2,12.2,158.9,13.7,6,,2018-01-03T07:14:03,2018-01-03T18:18:02,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-04,29,19.2,23.1,31.4,19.2,23.5,19.7,82,5.3,100,50,rain,0,0,,43.2,71.5,1013.8,63.8,10.3,175.6,15.1,7,,2018-01-04T07:14:21,2018-01-04T18:18:39,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-05,27,20.1,23,29.2,20.1,23.1,21.2,90.3,1.2,100,12.5,rain,0,0,,25.2,56.4,1012.7,83.5,9.2,160.4,13.8,6,,2018-01-05T07:14:38,2018-01-05T18:19:16,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-06,27,20.7,23.5,29.6,20.7,23.7,22.2,92.6,4.1,100,12.5,rain,0,0,,21.6,104.4,1011.9,79.1,9.2,207.4,17.9,7,,2018-01-06T07:14:54,2018-01-06T18:19:53,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-07,28,21.2,24.4,31.3,21.2,25.1,22,86.8,0.2,100,8.33,rain,0,0,,14.4,156.3,1012.6,52.8,13.8,206.4,17.7,8,,2018-01-07T07:15:09,2018-01-07T18:20:31,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-08,29,20.1,25,32,20.1,25.7,22.2,85.4,0,0,0,,0,0,,21.6,123.7,1013.4,74.2,11,215.7,18.6,8,,2018-01-08T07:15:23,2018-01-08T18:21:09,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-09,24,12.1,17.2,24,12.1,17.2,15.6,90.9,1.2,100,12.5,rain,0,0,,36,69,1018.5,88.9,11,71.2,6,3,,2018-01-09T07:15:36,2018-01-09T18:21:46,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-10,21,12.6,16.6,21,12.6,16.6,12.8,78.8,3.7,100,54.17,rain,0,0,,36,51.1,1022,92.2,14.5,74.4,6.5,3,,2018-01-10T07:15:48,2018-01-10T18:22:24,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-11,19,12.2,16,19,12.2,16,10.6,70.7,2.9,100,58.33,rain,0,0,,36,53.3,1022.7,83.6,14.5,66,5.6,2,,2018-01-11T07:15:58,2018-01-11T18:23:02,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-12,22,12.7,17.2,22,12.7,17.2,9.1,59.9,0.5,100,16.67,rain,0,0,,43.2,48.9,1022.8,81.2,14.6,212.1,18.5,8,,2018-01-12T07:16:07,2018-01-12T18:23:41,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-13,26,13.2,19,26,13.2,19,11.3,62.4,0.3,100,12.5,rain,0,0,,39.6,59,1021,65.9,13.2,117.3,10,4,,2018-01-13T07:16:15,2018-01-13T18:24:19,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-14,26,16.1,20.3,26,16.1,20.3,14.5,70.3,0.4,100,16.67,rain,0,0,,32.4,62.4,1019.2,77.9,12.4,219.3,18.9,8,,2018-01-14T07:16:22,2018-01-14T18:24:57,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-15,25,15.7,19.9,25,15.7,19.9,15.2,75.4,0,0,0,,0,0,,32.4,68.6,1016.6,75.8,12.8,222.9,19.3,8,,2018-01-15T07:16:28,2018-01-15T18:25:35,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-16,26,15.7,20.6,26,15.7,20.6,16.4,78,0,0,0,,0,0,,21.6,81.8,1014.7,52.5,13.1,225.3,19.4,8,,2018-01-16T07:16:32,2018-01-16T18:26:12,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-17,25,16.7,20.9,25,16.7,20.9,16.5,76.9,0,0,0,,0,0,,21.6,81.8,1014.7,58.5,12.7,235.6,20.3,8,,2018-01-17T07:16:35,2018-01-17T18:26:50,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-18,25,16.2,20.6,25,16.2,20.6,15.2,72.6,0,0,0,,0,0,,18,24.3,1015,52.8,13.2,232.9,20.2,8,,2018-01-18T07:16:37,2018-01-18T18:27:28,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-19,27,18,21.5,27.9,18,21.5,17.7,79.9,0.2,100,8.33,rain,0,0,,25.2,11.2,1015.9,82.8,14.2,147.3,12.8,5,,2018-01-19T07:16:38,2018-01-19T18:28:05,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-20,29,19.2,23.2,30.8,19.2,23.5,19.3,80,0,0,0,,0,0,,25.2,74.1,1014.4,71.7,13.7,199.7,17.3,7,,2018-01-20T07:16:37,2018-01-20T18:28:42,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-21,30,19.2,23.4,31.3,19.2,23.6,19.4,79.6,0,0,0,,0,0,,39.6,75.8,1013.4,57.1,10.5,199.9,17.3,7,,2018-01-21T07:16:35,2018-01-21T18:29:19,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-22,27,18.6,22.8,28.5,18.6,22.9,19,79.8,0,0,0,,0,0,,28.8,68.7,1013,63.1,11.1,228.2,19.8,8,,2018-01-22T07:16:32,2018-01-22T18:29:56,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-23,29,17.7,22.7,30.3,17.7,23,18.7,79.7,0,0,0,,0,0,,32.4,83,1012.9,60.3,11,226.9,19.6,8,,2018-01-23T07:16:28,2018-01-23T18:30:32,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-24,29,18.7,22.9,30.3,18.7,23.1,18.8,79.5,0,0,0,,0,0,,36,77.1,1012.1,54.7,10.7,229.3,19.8,8,,2018-01-24T07:16:22,2018-01-24T18:31:08,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-25,28,19.2,23.2,29.7,19.2,23.4,19.9,82.9,0,0,0,,0,0,,32.4,85.2,1012.2,65.5,10.8,221.1,19.1,8,,2018-01-25T07:16:15,2018-01-25T18:31:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59948099999,57494199999,ZJSY"
"18.2170,109.5830",2018-01-26,29,19.1,23.2,30.3,19.1,23.5,19.2,79.8,0.3,100,12.5,rain,0,0,,36,75.6,1013.2,56,11.2,222.3,19.2,8,,2018-01-26T07:16:07,2018-01-26T18:32:20,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59948099999,57494199999,ZJSY"
