name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"25.4330,105.1830",2020-01-01,21.9,7.8,14.2,21.9,5.9,13.8,9.5,75.2,0.5,100,4.17,rain,0,0,46.8,28.1,221.1,1019.5,73.3,19.1,177.2,15.4,7,,2020-01-01T07:45:05,2020-01-01T18:19:55,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"57902099999,remote"
"25.4330,105.1830",2020-01-02,23.5,7.7,15.2,23.5,6,14.9,9.8,72.7,0,0,0,,0,0,46.8,22,234.9,1017.6,49,20.1,174,14.9,6,,2020-01-02T07:45:23,2020-01-02T18:20:34,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57902099999,remote"
"25.4330,105.1830",2020-01-03,23.2,8.5,15,23.2,7.3,14.9,10.7,78.1,0,0,0,,0,0,32.4,13.3,194.6,1017.6,64.6,12,180.5,15.6,7,,2020-01-03T07:45:39,2020-01-03T18:21:15,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57902099999,remote"
"25.4330,105.1830",2020-01-04,21.8,10.7,15,21.8,10.7,15,12.3,84.9,9.5,100,4.17,rain,0,0,62.3,26.6,176.9,1015.3,73.5,12,151.7,13.1,6,,2020-01-04T07:45:54,2020-01-04T18:21:55,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"57902099999,remote"
"25.4330,105.1830",2020-01-05,20.9,10.7,14.5,20.9,10.7,14.5,12,86.5,1,100,12.5,rain,0,0,62.3,28.8,194.2,1014.7,52.4,25.5,158,13.6,6,,2020-01-05T07:46:07,2020-01-05T18:22:37,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"57902099999,remote"
"25.4330,105.1830",2020-01-06,21.8,12.2,15.8,21.8,12.2,15.8,11.3,77.5,16.6,100,12.5,rain,0,0,64.8,36.7,209.8,1010.8,36.4,24.6,141.8,12.2,6,,2020-01-06T07:46:19,2020-01-06T18:23:19,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"57902099999,remote"
"25.4330,105.1830",2020-01-07,20.4,3.2,12.4,20.4,0.5,11.7,5.2,65.4,0,0,0,,0,0,54,16.9,196.7,1015.7,14,23.8,204.3,17.6,8,,2020-01-07T07:46:29,2020-01-07T18:24:02,0.44,Clear,Clear conditions throughout the day.,clear-day,"57902099999,remote"
"25.4330,105.1830",2020-01-08,22.7,10.4,15.7,22.7,10.4,15.7,11.9,78.7,0,0,0,,0,0,54,29.2,209.9,1012.7,32.2,18.9,166.9,14.5,6,,2020-01-08T07:46:39,2020-01-08T18:24:45,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57902099999,remote"
"25.4330,105.1830",2020-01-09,23.7,8,15.7,23.7,6.1,15.3,8.9,68.7,0,0,0,,0,0,54,27.7,242.6,1010.2,23.3,22.9,199.8,17.1,7,,2020-01-09T07:46:46,2020-01-09T18:25:28,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57902099999,remote"
"25.4330,105.1830",2020-01-10,23.6,7.6,15.2,23.6,5.6,14.9,8.6,68.7,0,0,0,,0,0,51.8,24.8,241.2,1008.8,8.7,20.3,199.9,17.2,7,,2020-01-10T07:46:52,2020-01-10T18:26:12,0.5,Clear,Clear conditions throughout the day.,clear-day,"57902099999,remote"
"25.4330,105.1830",2020-01-11,13.6,5,8.6,13.6,1,7.2,5.1,79.8,0.3,100,12.5,rain,0,0,50.4,21.6,61.2,1018,38.8,14.5,134.8,11.7,5,,2020-01-11T07:46:57,2020-01-11T18:26:57,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"57902099999,remote"
"25.4330,105.1830",2020-01-12,18.3,4.4,9,18.3,3.6,8.6,5.2,79.6,0,0,0,,0,0,29.2,14.4,160.2,1017.8,30.4,14.4,182.8,15.8,7,,2020-01-12T07:47:00,2020-01-12T18:27:41,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"57902099999,remote"
