name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"26.6524,106.6348",2020-01-01,19,9.3,14,19,7.1,13.8,10.3,79.7,0.2,100,8.33,rain,0,0,46.8,36,203.6,1020.9,70.6,9,135.7,11.6,6,,2020-01-01T07:41:52,2020-01-01T18:11:32,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-02,22,7.1,12.2,22,5.1,11.4,8.7,80.8,0,0,0,,0,0,39.6,28.8,16.8,1021.4,53.1,7.5,142.5,12.3,6,,2020-01-02T07:42:08,2020-01-02T18:12:12,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-03,9,6.5,7.6,7.3,4.1,5.6,6.1,90.7,0,0,0,,0,0,36,14.4,28.3,1023.9,68.4,7.4,103.5,8.9,4,,2020-01-03T07:42:24,2020-01-03T18:12:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-04,13,6.5,8.5,13,4.3,7.6,7.8,94.9,11.6,100,16.67,rain,0,0,32.4,14.4,48.3,1020.5,66.3,4.8,89.6,7.7,3,,2020-01-04T07:42:38,2020-01-04T18:13:35,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-05,20,11.3,15.4,20,11.3,15.4,11.9,80.7,2.6,100,8.33,rain,0,0,68.4,46.8,201.6,1014.8,67.1,11.7,134,11.6,6,,2020-01-05T07:42:50,2020-01-05T18:14:17,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-06,19,10.2,15.3,19,10.2,15.3,12.2,82.3,6.7,100,16.67,rain,0,0,86.4,50.4,200.7,1012.8,60.1,11.2,100.1,8.7,4,,2020-01-06T07:43:01,2020-01-06T18:15:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-07,17,3.7,10.4,17,1.3,9.4,5.3,72.2,0,0,0,,0,0,57.6,18,42.4,1019.4,29.1,10.7,197.6,17,7,,2020-01-07T07:43:11,2020-01-07T18:15:44,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-08,21,11,15.9,21,11,15.9,11.7,76.9,0,0,0,,0,0,64.8,46.8,195,1014.7,66.9,10.5,82.8,7.1,3,,2020-01-08T07:43:19,2020-01-08T18:16:28,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-09,11,4,6.5,11,0.6,3.6,4.7,88.8,0,0,0,,0,0,61.2,21.6,23.4,1015.8,61.9,8.5,142.4,12.3,5,,2020-01-09T07:43:26,2020-01-09T18:17:12,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-10,5,2.8,3.9,1.9,-0.7,0.6,2.6,91,1.2,100,16.67,rain,0,0,32.4,18,33.1,1017.6,58.6,7.1,150.1,13,6,,2020-01-10T07:43:31,2020-01-10T18:17:57,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-11,7,2.5,4.6,4.5,-1,2.1,1.9,83.3,0,0,0,,0,0,29.2,14.4,40.5,1022.6,64.4,10.3,172.7,14.9,7,,2020-01-11T07:43:34,2020-01-11T18:18:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-12,13,0.4,6.1,13,-1.3,5.6,2,76.8,0,0,0,,0,0,25.2,14.4,195.4,1019.4,27,7.8,196,16.9,7,,2020-01-12T07:43:36,2020-01-12T18:19:29,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-13,12,4,7.1,12,0.3,6,5.3,88.5,0.5,100,12.5,rain,0,0,39.2,21.6,152.9,1015.7,68.2,6.5,62.5,5.4,2,,2020-01-13T07:43:37,2020-01-13T18:20:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-14,4,1.5,3,4,-2.1,0,1.7,90.8,2.7,100,12.5,"rain,snow",0,0,39.6,21.6,38.5,1018.8,60.6,6.7,58,5,2,,2020-01-14T07:43:36,2020-01-14T18:21:02,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"ZUGY,57816099999"
"26.6524,106.6348",2020-01-15,3,0.6,1.9,0.1,-3.7,-1.8,1.2,94.9,4.8,100,16.67,"rain,snow",0,0,29.2,21.6,17.9,1017,68.3,4,90.5,7.7,3,,2020-01-15T07:43:34,2020-01-15T18:21:48,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"ZUGY,57816099999"
