name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"26.5858,101.7180",2020/1/1,20.1,1.4,10.2,20.1,1.4,9.5,4.8,73.1,0,0,0,,0,0,38.2,19.4,208.5,1023.8,13.9,24.7,175.8,15.3,7,,2020-01-01T08:01:23,2020-01-01T18:31:21,0.17,Clear,Clear conditions throughout the day.,clear-day,"56671099999,remote"
"26.5858,101.7180",2020/1/2,21.3,2.4,10.5,21.3,1.8,9.8,5.4,74.3,0,0,0,,0,0,38.2,17.6,206.2,1023.3,29.2,28.7,171.1,14.8,7,,2020-01-02T08:01:40,2020-01-02T18:32:01,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56671099999,remote"
"26.5858,101.7180",2020/1/3,20.3,4.4,11.3,20.3,3.4,10.8,6.5,75.5,0,0,0,,0,0,29.5,13.7,188.8,1020.2,76.9,28.1,140.4,12.1,6,,2020-01-03T08:01:56,2020-01-03T18:32:42,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56671099999,remote"
"26.5858,101.7180",2020/1/4,18.7,7.4,11.3,18.7,5.4,10.9,8.7,84.9,11,100,12.5,rain,0,0,29.5,32,185.5,1016.1,91.4,23,129.5,11,5,,2020-01-04T08:02:10,2020-01-04T18:33:24,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/5,18.1,7.2,11.9,18.1,7.2,11.5,8.8,83.7,4,100,8.33,rain,0,0,28.8,28.1,198.6,1014.6,70.9,26.9,134.2,11.6,6,,2020-01-05T08:02:22,2020-01-05T18:34:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/6,18,5,10.7,18,5,10.3,3.4,67,2.9,100,12.5,rain,0,0,54.7,30.2,244,1011.1,34.3,26.6,183.5,15.8,7,,2020-01-06T08:02:33,2020-01-06T18:34:49,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/7,19.5,0.4,8.7,19.5,-1,8,-0.2,59.8,0.1,100,4.17,"rain,snow",0,0,54,13.7,184.2,1019.1,25.5,29.3,200.3,17.2,7,,2020-01-07T08:02:43,2020-01-07T18:35:32,0.44,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/8,20.3,3.4,11,20.3,2.6,10.3,5.2,71.1,0,0,0,,0,0,32.4,29.2,216.6,1015.2,13.2,27.9,191.4,16.5,7,,2020-01-08T08:02:51,2020-01-08T18:36:17,0.47,Clear,Clear conditions throughout the day.,clear-day,"56671099999,remote"
"26.5858,101.7180",2020/1/9,20.6,4.1,11.5,20.6,1.8,10.6,4.6,67.5,0,0,0,,0,0,32.8,29.2,210.8,1012.7,19.1,29.6,176.4,15.1,7,,2020-01-09T08:02:58,2020-01-09T18:37:01,0.49,Clear,Clear conditions throughout the day.,clear-day,"56671099999,remote"
"26.5858,101.7180",2020/1/10,19.3,4.5,11.1,19.3,2,10.2,5.4,72.1,0.7,100,8.33,rain,0,0,46.8,24.8,211.4,1010.3,16.1,30,185.9,16.1,7,,2020-01-10T08:03:03,2020-01-10T18:37:46,0.5,Rain,Clear conditions throughout the day with rain.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/11,17.5,2.6,9.3,17.5,1.9,8.5,2,66.2,0.2,100,8.33,rain,0,0,36,10.1,198.2,1015.5,10.2,28,190.1,16.6,7,,2020-01-11T08:03:06,2020-01-11T18:38:32,0.51,Rain,Clear conditions throughout the day with rain clearing later.,rain,"56671099999,remote"
"26.5858,101.7180",2020/1/12,19.8,0.4,9.4,19.8,-0.2,8.6,-1.9,51.2,0,0,0,,0,0,26.6,11.9,204.8,1016.1,0,30,207.8,18.1,8,,2020-01-12T08:03:09,2020-01-12T18:39:17,0.52,Clear,Clear conditions throughout the day.,clear-day,"56671099999,remote"
"26.5858,101.7180",2020/1/13,20.5,0.1,9,20.5,-3,8,0.2,58.6,0,0,0,,0,0,28.8,20.5,204.2,1013.9,0,30,205.7,17.8,8,,2020-01-13T08:03:09,2020-01-13T18:40:04,0.55,Clear,Clear conditions throughout the day.,clear-day,"56671099999,remote"
