name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"19.6702,109.1887",2020-01-01,25.7,16.8,20.2,25.7,16.8,20.2,17.6,86,0.8,100,8.33,rain,,0,31.3,13,91,1023.5,51.4,12.5,198.7,17.1,8,,2020-01-01T07:17:34,2020-01-01T18:15:22,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59845099999,remote"
"19.6702,109.1887",2020-01-02,26.2,16,20.2,26.2,16,20.2,17.2,84.6,0,0,0,,,0,27,11.5,103.9,1022.9,65.9,14.6,210.1,18.2,8,,2020-01-02T07:17:54,2020-01-02T18:15:59,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-03,26.3,15.3,20.4,26.3,15.3,20.4,17,82.5,0,0,0,,,,27,10.8,110.6,1020.8,83.5,21.5,205,17.9,8,,2020-01-03T07:18:13,2020-01-03T18:16:36,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-04,25.6,16.1,20.2,25.6,16.1,20.2,17,83.7,0,0,0,,,,24.1,9.7,101.2,1019,92.7,19.1,151.2,12.9,6,,2020-01-04T07:18:31,2020-01-04T18:17:13,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"59845099999,remote"
"19.6702,109.1887",2020-01-05,26.6,14.9,20.4,26.6,14.9,20.4,16.7,81.3,0,0,0,,,,32.8,13,117,1017.9,50.7,21,216.7,18.8,8,,2020-01-05T07:18:48,2020-01-05T18:17:51,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-06,28.2,16,21.3,29,16,21.5,17.9,83,0.3,100,12.5,rain,,,25.6,6.8,125.5,1017.1,31.5,16.3,211,18.2,8,,2020-01-06T07:19:04,2020-01-06T18:18:29,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59845099999,remote"
"19.6702,109.1887",2020-01-07,30.1,16.9,22.2,30.1,16.9,22.3,17.3,77.3,0,0,0,,,,23.8,7.9,69.5,1016.5,29.1,20.6,223.6,19.2,8,,2020-01-07T07:19:18,2020-01-07T18:19:08,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-08,27.7,14.9,20.9,28.4,14.9,20.9,16.9,79.6,0,0,0,,,,29.2,9.7,107.1,1017.2,59.2,19.4,220.8,19,8,,2020-01-08T07:19:32,2020-01-08T18:19:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-09,28.6,15.2,21.3,28.8,15.2,21.4,17,78.5,0,0,0,,,,23,7.2,106.2,1015.7,34.1,19.6,222.3,19.2,8,,2020-01-09T07:19:44,2020-01-09T18:20:25,0.49,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-10,27.7,15.3,21.2,27.9,15.3,21.2,17.4,81.1,0,0,0,,,,22.7,10.1,118.6,1014.4,49.1,18.8,222.5,19.2,8,,2020-01-10T07:19:55,2020-01-10T18:21:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-11,27.7,15.3,21.3,27.8,15.3,21.3,17.1,79.4,0,0,0,,,,22.7,7.9,83.5,1013.9,44,24,217.9,18.9,8,,2020-01-11T07:20:05,2020-01-11T18:21:44,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
"19.6702,109.1887",2020-01-12,25.6,14.4,19.2,25.6,14.4,19.2,15.7,81.9,0,0,0,,,,22.3,7.9,53.4,1015.8,68.1,5.4,197.7,17,7,,2020-01-12T07:20:13,2020-01-12T18:22:23,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59845099999,remote"
