name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"22.0000,100.7830",2016-01-01,27.6,10.6,16.8,29.3,10.6,16.9,13.7,83.9,13.6,100,8.33,rain,,,,7.2,118.2,1019.6,66.7,19.1,150.5,13,6,,2016-01-01T07:55:42,2016-01-01T18:44:28,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,56959099999"
"22.0000,100.7830",2016-01-02,23.9,11.1,17.3,23.9,11.1,17.3,13.8,80.9,0.4,100,4.17,rain,,,,10.8,209.4,1018.7,40.2,15.4,135.9,11.6,5,,2016-01-02T07:56:01,2016-01-02T18:45:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,56959099999"
"22.0000,100.7830",2016-01-03,25.2,11.5,17.2,25.2,11.5,17.2,12.9,77.6,4.7,100,4.17,rain,,,,7.2,233.1,1017.9,26.4,12.4,163.9,14.2,6,,2016-01-03T07:56:19,2016-01-03T18:45:44,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,56959099999"
"22.0000,100.7830",2016-01-04,25.1,12.6,17.3,25.1,12.6,17.3,12.5,74.8,0,0,0,,,,,5.4,260.6,1016.9,39.9,14,158.4,13.8,6,,2016-01-04T07:56:36,2016-01-04T18:46:23,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-05,27.2,9.2,16.7,27.3,8.4,16.6,10.3,70.6,0,0,0,,,,,7.2,325.4,1016.4,10.2,11.3,218.2,18.9,8,,2016-01-05T07:56:51,2016-01-05T18:47:02,0.84,Clear,Clear conditions throughout the day.,clear-day,"remote,56959099999"
"22.0000,100.7830",2016-01-06,26.9,7.6,16.1,27,6.3,15.9,8.3,64.3,0,0,0,,,,,7.6,294.5,1017.7,8.8,7.9,221.6,19.2,8,,2016-01-06T07:57:06,2016-01-06T18:47:42,0.88,Clear,Clear conditions throughout the day.,clear-day,"remote,56959099999"
"22.0000,100.7830",2016-01-07,28.1,9.1,16.7,28.2,8.4,16.7,8.2,61.2,0,0,0,,,,,6.5,277.9,1017.7,24.8,9,218.7,19,8,,2016-01-07T07:57:19,2016-01-07T18:48:22,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-08,29.1,8.5,16.3,29,7.4,16.3,9,65.2,0,0,0,,,,,7.2,251.3,1015.9,59.3,10.1,206,17.7,8,,2016-01-08T07:57:30,2016-01-08T18:49:02,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-09,28.4,9.6,16,28.2,9.1,16,8.3,63.3,0,0,0,,,,,7.2,254.6,1013.9,74.6,11.7,192.8,16.6,7,,2016-01-09T07:57:41,2016-01-09T18:49:43,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-10,30.6,6.7,14.8,29.4,5.2,14.5,6.9,64.8,0,0,0,,,,,7.9,299.8,1015.7,18,11.1,222,19.2,8,,2016-01-10T07:57:50,2016-01-10T18:50:24,0,Clear,Clear conditions throughout the day.,clear-day,"remote,56959099999"
"22.0000,100.7830",2016-01-11,25.9,6,14.3,25.9,4.8,14,5.7,62.5,0,0,0,,,,,7.2,336.2,1016.4,51.1,7.4,219.3,18.9,8,,2016-01-11T07:57:58,2016-01-11T18:51:05,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-12,24.7,6.2,14.6,24.7,4.8,14.4,5.3,58.6,0,0,0,,,,,7.6,298.6,1016.9,68.3,6.6,213.9,18.5,8,,2016-01-12T07:58:04,2016-01-12T18:51:47,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-13,27.6,7.5,15.7,27.5,6.4,15.6,7.8,63,0,0,0,,,,,7.6,221.2,1015.6,76.5,7.7,214.9,18.6,8,,2016-01-13T07:58:09,2016-01-13T18:52:28,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-14,32.7,10.9,17.2,34.1,10.9,17.3,10.6,69.4,0,0,0,,,,,8.6,246.7,1013.4,50.1,8.4,211.9,18.3,8,,2016-01-14T07:58:13,2016-01-14T18:53:10,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-15,32.7,7.7,16.5,33.4,6.4,16.4,7.8,61.9,0,0,0,,,,,8.3,281.3,1011.2,73.9,12.6,223.7,19.2,8,,2016-01-15T07:58:16,2016-01-15T18:53:52,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-16,26.6,6.9,15.3,26.6,5.4,15.1,5.5,57.8,0,0,0,,,,,10.8,276.7,1010.2,29.9,9,229.1,19.8,8,,2016-01-16T07:58:17,2016-01-16T18:54:33,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-17,24.9,5.7,14.8,24.9,3.8,14.5,4.5,56.1,0,0,0,,,,,8.3,324.3,1012.8,17.3,10.5,230.9,19.9,8,,2016-01-17T07:58:17,2016-01-17T18:55:15,0.25,Clear,Clear conditions throughout the day.,clear-day,"remote,56959099999"
"22.0000,100.7830",2016-01-18,25.2,6.4,15,25.2,4.8,14.8,5.1,56.8,0,0,0,,,,,7.6,314.6,1013.6,36.1,9,228.9,19.8,8,,2016-01-18T07:58:15,2016-01-18T18:55:57,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-19,26.2,7,15.7,26.2,5.5,15.6,6.2,58.3,0,0,0,,,,,8.3,277.6,1014.4,65.3,7.7,228.8,19.8,8,,2016-01-19T07:58:12,2016-01-19T18:56:39,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-20,26.9,9.5,17.1,26.8,8.8,17,7.5,57.5,0,0,0,,,,,7.6,255.1,1015.5,53.3,8.8,223.8,19.3,8,,2016-01-20T07:58:08,2016-01-20T18:57:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-21,29.1,10.7,18.2,28.2,10.7,18.1,8,55.3,0,0,0,,,,,8.3,243.1,1014.2,72.2,6.9,223.6,19.5,8,,2016-01-21T07:58:02,2016-01-21T18:58:02,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
"22.0000,100.7830",2016-01-22,27.3,11.5,18.9,26.7,11.5,18.8,9.5,58.2,0,0,0,,,,,7.9,253.2,1014.7,71.2,11.8,207.1,17.9,7,,2016-01-22T07:57:55,2016-01-22T18:58:44,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,56959099999"
