name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"25.7000,100.1830",2020-01-01,17.2,5.4,10.5,17.2,3.8,10.3,5.8,76.3,0.3,100,12.5,rain,,,33.1,14.4,219.3,1022,40.8,29.3,136.7,11.9,6,,2020-01-01T08:05:39,2020-01-01T18:39:22,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-02,17.2,5.9,10.5,17.2,5.9,10.4,6.7,79.9,0.1,100,4.17,rain,,,32.4,14.8,246.4,1022.5,56.5,28.6,132.8,11.6,6,,2020-01-02T08:05:57,2020-01-02T18:40:01,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-03,17.1,6.9,11.2,17.1,6.9,11.1,8.1,83.3,2.2,100,37.5,rain,,,43.2,15.1,243.1,1019.1,82.8,28.1,112.4,9.5,5,,2020-01-03T08:06:12,2020-01-03T18:40:42,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-04,15.4,8.4,10.8,15.4,7.3,10.3,8.9,89.6,26,100,20.83,rain,,,68.4,32.4,219.2,1014.5,90.9,18.1,114.6,9.8,5,,2020-01-04T08:06:27,2020-01-04T18:41:23,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-05,14.6,6.7,10.1,14.6,6.7,9.6,8.8,91.8,23.4,100,20.83,rain,,,32.4,24.8,224.8,1015.2,77.4,20.9,110.6,9.5,5,,2020-01-05T08:06:40,2020-01-05T18:42:05,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-06,14.2,5.1,9.1,14.2,3,8.3,3.2,70.1,25.7,100,12.5,rain,,,86.4,25.2,239.4,1013.2,41.8,28,180.1,15.4,7,,2020-01-06T08:06:52,2020-01-06T18:42:47,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-07,16.3,-0.8,7.6,16.3,-2.1,7.3,2.5,73.3,0,0,0,,,,46.8,13,251.8,1021,33.6,26.9,202,17.4,8,,2020-01-07T08:07:02,2020-01-07T18:43:30,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56751099999,remote"
"25.7000,100.1830",2020-01-08,16.3,5.6,10.6,16.3,4.4,10.1,5.4,72.8,0,0,0,,,,54,21.2,227.8,1013.5,31.7,29.1,189.8,16.6,7,,2020-01-08T08:07:11,2020-01-08T18:44:13,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56751099999,remote"
"25.7000,100.1830",2020-01-09,17,5.1,10.7,17,5.1,10.2,5,71.9,0,0,0,,,,64.8,21.6,205.2,1012,30.9,30,184.2,15.9,7,,2020-01-09T08:07:18,2020-01-09T18:44:57,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56751099999,remote"
"25.7000,100.1830",2020-01-10,14.6,5.5,9.8,14.6,4.4,9.3,5.7,78.2,1.3,100,8.33,rain,,,62.3,18,220.7,1010.6,46.2,30,140.5,11.9,5,,2020-01-10T08:07:24,2020-01-10T18:45:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56751099999,remote"
"25.7000,100.1830",2020-01-11,15.2,0.2,8,15.2,0.2,7.6,1.8,70.1,0,0,0,,,,61.2,12.6,250.5,1016.9,27.2,27.3,187.9,16.3,8,,2020-01-11T08:07:29,2020-01-11T18:46:26,0.51,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"56751099999,remote"
"25.7000,100.1830",2020-01-12,18,-1.1,8.3,18,-1.1,8,-0.9,59.1,0,0,0,,,,18.7,11.5,254.8,1017.9,0,21.2,216.6,18.7,8,,2020-01-12T08:07:32,2020-01-12T18:47:11,0.52,Clear,Clear conditions throughout the day.,clear-day,"56751099999,remote"
"25.7000,100.1830",2020-01-13,17.6,0.4,8.2,17.6,-2,7.8,2,68.5,0,0,0,,,,36,17.3,250.8,1014.3,12,28.1,209.7,18.3,8,,2020-01-13T08:07:33,2020-01-13T18:47:56,0.55,Clear,Clear conditions throughout the day.,clear-day,"56751099999,remote"
"25.7000,100.1830",2020-01-14,19.2,3.5,9.1,19.2,2.4,8.4,3.7,73.9,0,0,0,,,,57.6,25.2,249.1,1009.5,20.6,29.3,190.6,16.5,8,,2020-01-14T08:07:33,2020-01-14T18:48:42,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"56751099999,remote"
