name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"23.4500,103.3330",2018-01-01,17.4,8.1,11.8,17.4,8.1,11.8,10.4,91.4,0.1,100,4.17,rain,0,0,,18,154.8,1015.7,68.4,23.4,103.5,8.8,4,,2018-01-01T07:48:33,2018-01-01T18:31:41,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-02,20.7,9.5,13.6,20.7,9.5,13.6,11.5,88.3,1.1,100,41.67,rain,0,0,,25.2,152.5,1013.9,75.1,29.5,124.7,10.7,5,,2018-01-02T07:48:51,2018-01-02T18:32:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-03,15,10.5,12.6,15,10.5,12.6,11.7,94.1,0.8,100,8.33,rain,0,0,,21.6,152.2,1014.6,91.1,24.6,65.5,5.7,2,,2018-01-03T07:49:08,2018-01-03T18:32:59,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-04,19.2,10.7,13.8,19.2,10.7,13.8,12.3,91.2,7.3,100,12.5,rain,0,0,,14.4,189.2,1014.4,72.4,20,147.4,12.7,6,,2018-01-04T07:49:23,2018-01-04T18:33:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-05,21.6,8.1,14.6,21.6,8.1,14.6,11.5,84,0.3,100,12.5,rain,0,0,,21.6,210.6,1012.8,47.2,22.9,188.6,16.2,8,,2018-01-05T07:49:37,2018-01-05T18:34:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-06,21.2,13,15.5,21.2,13,15.5,13.1,86.9,2,100,41.67,rain,0,0,,21.6,177.5,1009,66.4,30,89.6,7.6,4,,2018-01-06T07:49:49,2018-01-06T18:35:01,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-07,21.6,12.4,15.7,21.6,12.4,15.7,13.6,88.8,6.7,100,66.67,rain,0,0,,25.2,236.5,1008.7,87.6,24.4,82,7.1,3,,2018-01-07T07:50:01,2018-01-07T18:35:42,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-08,22.7,9.7,15.9,22.7,8.5,15.8,13.2,85.4,2.2,100,8.33,rain,0,0,,25.2,211.2,1010.6,70.8,25.4,155.4,13.5,6,,2018-01-08T07:50:11,2018-01-08T18:36:24,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-09,8.7,4.4,6.5,8.7,2,4.8,5.1,91.1,0.3,100,4.17,rain,0,0,,11.9,99.5,1020.8,79.4,9.4,99.5,8.6,4,,2018-01-09T07:50:19,2018-01-09T18:37:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-10,9.3,3.1,5.4,8.1,0.2,3.8,3.3,86.8,1.1,100,8.33,rain,0,0,,14,64.2,1027.2,89.2,9.9,121.7,10.6,5,,2018-01-10T07:50:26,2018-01-10T18:37:48,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-11,10.2,2.4,5.9,10.2,0.6,4.2,2.2,78.4,0.1,100,4.17,rain,0,0,,14.4,104.1,1027.4,89.2,15.5,134.5,11.7,5,,2018-01-11T07:50:32,2018-01-11T18:38:31,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"56985099999,remote"
"23.4500,103.3330",2018-01-12,10.7,0.6,5.9,10.7,-1.7,4.2,0.5,70.4,0,0,0,,0,0,,14.4,131.7,1025.9,70.3,27.6,177,15.2,7,,2018-01-12T07:50:37,2018-01-12T18:39:14,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-13,11.7,2.5,6.4,11.7,1.1,5,2.4,76.7,0,0,0,,0,0,,21.6,152.1,1022.8,66.7,25.8,141.4,12.1,5,,2018-01-13T07:50:40,2018-01-13T18:39:57,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-14,16.7,4.8,9.4,16.7,4.5,9.2,6.2,81.6,0,0,0,,0,0,,21.6,195.6,1019.7,47.3,19.3,145.1,12.4,6,,2018-01-14T07:50:42,2018-01-14T18:40:40,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-15,18.7,6.9,11.6,18.7,6.9,11.5,8.7,83.8,0,0,0,,0,0,,28.8,227,1013.4,47.2,24.6,168.7,14.6,7,,2018-01-15T07:50:42,2018-01-15T18:41:23,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-16,20.6,9.2,13.7,20.6,9,13.6,10.1,80.4,0,0,0,,0,0,,18,219.1,1012.1,34.4,26.3,186.4,16.2,7,,2018-01-16T07:50:41,2018-01-16T18:42:07,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-17,20.4,9.1,13.5,20.4,9.1,13.5,10.4,83.1,0,0,0,,0,0,,18,211.5,1012.2,35.6,17.8,205.7,17.8,8,,2018-01-17T07:50:38,2018-01-17T18:42:50,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-18,20.2,8.8,13.4,20.2,8.2,13.3,10.3,82.6,0,0,0,,0,0,,25.2,189.4,1012.3,30,19.3,191.1,16.6,7,,2018-01-18T07:50:34,2018-01-18T18:43:34,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-19,19.4,9.3,13.9,19.4,8.9,13.9,11,83.5,0,0,0,,0,0,,28.8,151,1015.1,34.5,20.5,186.2,16.1,7,,2018-01-19T07:50:29,2018-01-19T18:44:17,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-20,20.6,9,13.9,20.6,9,13.9,10.8,82.9,0,0,0,,0,0,,25.2,168.6,1012.8,23.4,22.9,202.2,17.4,8,,2018-01-20T07:50:22,2018-01-20T18:45:01,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-21,22.4,9.2,14.5,22.4,9.2,14.5,10,77.6,0,0,0,,0,0,,18,190.5,1011.4,50.3,25.5,209.7,18.1,8,,2018-01-21T07:50:14,2018-01-21T18:45:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-22,21.6,8.9,14,21.6,8.9,14,9.9,78.4,0,0,0,,0,0,,18,201.9,1011.2,75.5,20,213.5,18.5,8,,2018-01-22T07:50:04,2018-01-22T18:46:27,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
"23.4500,103.3330",2018-01-23,21.2,8,13.2,21.2,8,13.2,9.2,79.2,0,0,0,,0,0,,21.6,200,1010.3,50.7,22.4,207.4,17.9,8,,2018-01-23T07:49:53,2018-01-23T18:47:10,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"56985099999,remote"
